"Acceleration","Cylinders","Displacement","Horsepower","Model","Model_Year","MPG","Origin","Weight","Model_Year_70","Model_Year_76","Model_Year_82"
12,8,350,145,"chevy c10                           ",76,13,"USA    ",4055,0,1,0
15,8,302,130,"ford f108                           ",76,13,"USA    ",3870,0,1,0
14,8,318,150,"dodge d100                          ",76,13,"USA    ",3755,0,1,0
19.6,4,112,88,"chevrolet cavalier                  ",82,28,"USA    ",2605,0,0,1
18.6,4,112,88,"chevrolet cavalier wagon            ",82,27,"USA    ",2640,0,0,1
18,4,112,88,"chevrolet cavalier 2-door           ",82,34,"USA    ",2395,0,0,1
16.2,4,112,85,"pontiac j2000 se hatchback          ",82,31,"USA    ",2575,0,0,1
16,4,135,84,"dodge aries se                      ",82,29,"USA    ",2525,0,0,1
18,4,151,90,"pontiac phoenix                     ",82,27,"USA    ",2735,0,0,1
16.4,4,140,92,"ford fairmont futura                ",82,24,"USA    ",2865,0,0,1
15.3,4,105,74,"volkswagen rabbit l                 ",82,36,"Germany",1980,0,0,1
18.2,4,91,68,"mazda glc custom l                  ",82,37,"Japan  ",2025,0,0,1
17.6,4,91,68,"mazda glc custom                    ",82,31,"Japan  ",1970,0,0,1
14.7,4,105,63,"plymouth horizon miser              ",82,38,"USA    ",2125,0,0,1
17.3,4,98,70,"mercury lynx l                      ",82,36,"USA    ",2125,0,0,1
14.5,4,120,88,"nissan stanza xe                    ",82,36,"Japan  ",2160,0,0,1
14.5,4,107,75,"honda accord                        ",82,36,"Japan  ",2205,0,0,1
16.9,4,108,70,"toyota corolla                      ",82,34,"Japan  ",2245,0,0,1
15,4,91,67,"honda civic                         ",82,38,"Japan  ",1965,0,0,1
15.7,4,91,67,"honda civic (auto)                  ",82,32,"Japan  ",1965,0,0,1
16.2,4,91,67,"datsun 310 gx                       ",82,38,"Japan  ",1995,0,0,1
16.4,6,181,110,"buick century limited               ",82,25,"USA    ",2945,0,0,1
17,6,262,85,"oldsmobile cutlass ciera (diesel)   ",82,38,"USA    ",3015,0,0,1
14.5,4,156,92,"chrysler lebaron medallion          ",82,26,"USA    ",2585,0,0,1
14.7,6,232,112,"ford granada l                      ",82,22,"USA    ",2835,0,0,1
13.9,4,144,96,"toyota celica gt                    ",82,32,"Japan  ",2665,0,0,1
13,4,135,84,"dodge charger 2.2                   ",82,36,"USA    ",2370,0,0,1
17.3,4,151,90,"chevrolet camaro                    ",82,27,"USA    ",2950,0,0,1
15.6,4,140,86,"ford mustang gl                     ",82,27,"USA    ",2790,0,0,1
24.6,4,97,52,"vw pickup                           ",82,44,"Germany",2130,0,0,1
11.6,4,135,84,"dodge rampage                       ",82,32,"USA    ",2295,0,0,1
18.6,4,120,79,"ford ranger                         ",82,28,"USA    ",2625,0,0,1
19.4,4,119,82,"chevy s-10                          ",82,31,"USA    ",2720,0,0,1
